"Sample IDs","MPR","MS","TtT","RAF"
"1385_2024.25.MN.065_3",6.59883720930233,1.9560724,37.393,0.0267429732837697
"1386_2024.25.MN.066_3",17.8540305010893,5.19389973333333,32.9427480916031,0.0303556945892712
"1387_2024.25.MN.067_3",5.59443339960239,1.83167666666667,32.245,0.0310125600868352
"1388_2024.25.MN.068_3",1.11734693877551,0.122448933333333,48,0.0208333333333333
"Pos",19.4677685950413,5.29366386666667,16.0867346938776,0.062163019346654
"Neg",1.1877133105802,1.09215013333333,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.2147001934236,1.06769826666667,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.21296296296296,1.14814813333333,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.22316865417376,1.113004,48,0.0208333333333333
"1369_2024.25.MN.050_2",12.0481099656357,4.42153493333333,22.9217391304348,0.0436267071320182
"1370_2024.25.MN.051_2",1.2241054613936,1.07470186666667,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.26415094339623,1.11446546666667,48,0.0208333333333333
"1372_2024.25.MN.053_2",1.25189393939394,1.00757573333333,48,0.0208333333333333
"1373_2024.25.MN.054_2",1.22003577817531,0.999403733333333,48,0.0208333333333333
"1374_2024.25.MN.055_2",1.25551470588235,1.07352946666667,48,0.0208333333333333
"1375_2024.25.MN.056_2",1.23669724770642,1.05198773333333,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.22423146473779,0.966847466666667,48,0.0208333333333333
"1377_2024.25.MN.058_2",5.60606060606061,3.67946133333333,46.90859030837,0.0213180569577161
"1378_2024.25.MN.059_2",1.19402985074627,0.875621866666667,48,0.0208333333333333
"1379_2024.25.MN.060_2",4.15779467680608,0.9505704,33.2651515151515,0.0300614894101571
"1381_2024.25.MN.061_3",1.18595825426945,0.966476933333333,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.20840950639854,0.965265066666667,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.20604914933837,1.0081916,48,0.0208333333333333
"1384_2024.25.MN.064_3",1.18928571428571,1.01428573333333,48,0.0208333333333333
"1385_2024.25.MN.065_3",1.13152804642166,0.830432,48,0.0208333333333333
"1386_2024.25.MN.066_3",4.86286919831224,1.78059066666667,44.6366995073892,0.0224030900813905
"1387_2024.25.MN.067_3",8.81684210526316,2.95859653333333,25.9457831325301,0.0385419085210123
"1388_2024.25.MN.068_3",1.16441005802708,0.83559,48,0.0208333333333333
"Pos",15.2576489533011,5.14653786666667,11.578231292517,0.0863689776733255
"Neg",1.20818505338078,1.0438908,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.21100917431193,1.06177373333333,48,0.0208333333333333
"1367_2024.25.MN.048_2",3.69669117647059,3.19362746666667,47.491116751269,0.0210565694893515
"1368_2024.25.MN.049_2",1.2283185840708,1.02654866666667,48,0.0208333333333333
"1369_2024.25.MN.050_2",1.2693661971831,1.16666666666667,48,0.0208333333333333
"1370_2024.25.MN.051_2",1.19553072625698,0.903786533333333,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.21268656716418,0.955223866666667,48,0.0208333333333333
"1372_2024.25.MN.053_2",8.38827838827839,4.034188,43.5985772357724,0.0229365282860539
"1373_2024.25.MN.054_2",6.10877192982456,2.1964912,40.0192307692308,0.0249879865449303
"1374_2024.25.MN.055_2",1.22302158273381,0.9784172,48,0.0208333333333333
"1375_2024.25.MN.056_2",1.23844731977819,1.01293906666667,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.23369565217391,0.980676266666667,48,0.0208333333333333
"1377_2024.25.MN.058_2",1.15079365079365,0.515873066666667,48,0.0208333333333333
"1378_2024.25.MN.059_2",1.20450281425891,0.948092533333333,48,0.0208333333333333
"1379_2024.25.MN.060_2",4.54562383612663,0.546244666666667,23.0675675675676,0.0433509080257762
"1381_2024.25.MN.061_3",1.21747211895911,0.971499333333333,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.20323741007194,0.997601866666667,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.22138836772983,0.9555972,48,0.0208333333333333
"1384_2024.25.MN.064_3",1.19210053859964,1.0101736,48,0.0208333333333333
"1385_2024.25.MN.065_3",1.16829745596869,0.8454012,48,0.0208333333333333
"1386_2024.25.MN.066_3",1.08528784648188,0.616915466666667,48,0.0208333333333333
"1387_2024.25.MN.067_3",8.50420168067227,2.36134466666667,24.578869047619,0.0406853544832597
"1388_2024.25.MN.068_3",1.15674603174603,0.865079333333333,48,0.0208333333333333
"1389_2024.25.MN.069_3",1.15399610136452,0.792722533333333,48,0.0208333333333333
"1390_2024.25.MN.070_3",1.1407867494824,0.759144266666667,48,0.0208333333333333
"1391_2024.25.MN.071_3",7.59,2.98133333333333,43.313829787234,0.0230873142576446
"1392_2024.25.MN.072_3",1.14931237721022,0.796332666666667,48,0.0208333333333333
"1393_2024.25.MN.073_3",1.07725321888412,0.463519333333333,48,0.0208333333333333
"1394_2024.25.MN.074_3",1.18093385214008,0.775616133333333,48,0.0208333333333333
"1395_2024.25.MN.075_3",6.05088062622309,3.801696,46.8217741935484,0.0213575845260855
"1396_2024.25.MN.076_3",1.15918367346939,0.7891156,48,0.0208333333333333
"1397_2024.25.MN.077_3",1.16190476190476,0.802539733333333,48,0.0208333333333333
"1398_2024.25.MN.078_3",1.19411764705882,0.935947733333333,48,0.0208333333333333
"1399_2024.25.MN.079_3",1.10693069306931,0.604620533333333,48,0.0208333333333333
